branch,fixed_point,status,wall_limit_seconds,source,witness_sha256
0,17,SAT,60,prior_layer_run,3225f093712267cb90fdfaafa4536dabff58899580df0892eddacc56e4696fed
0,18,SAT,300,compatible_layer_witness,b02d84a2241f9e5d925189065fd8133d10a2950e1f081dfc7b7eca4327baaca8
1,17,UNKNOWN,60,prior_layer_run,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
1,18,SAT,60,prior_layer_run,01978dd3ef1f8bd3c039627ccfbf150da46880e6c01ceaba31749f2290fdd9cb
2,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
2,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
3,17,SAT,30,bounded_layer_scan,c8c8361e933dd91bcf56ea83f985df39f337f0b12b11185f82d85a2272f6a5ed
3,18,SAT,30,bounded_layer_scan,73104dad08a3ef87ec7bd3739055ea9b62560cedbd5965ca00ce3f4fa6df963f
4,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
4,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
5,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
5,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
6,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
6,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
7,17,SAT,30,bounded_layer_scan,f8779857acdbc9d7d51a583479b105bc351b7dd912a54090715626c5a12c1a31
7,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
8,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
8,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
9,17,SAT,30,bounded_layer_scan,f0ac159711f93905bdcb23334246c3a2a0b69fcb44feef02ac43da9f5b796eb4
9,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
10,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
10,18,SAT,30,bounded_layer_scan,504bd86999f160fd8d56dc7a23e6f1c1ebf845b966603d84b29db24b4ec70faf
11,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
11,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
12,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
12,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
13,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
13,18,SAT,30,bounded_layer_scan,54fa1ab8c210374f4dd6b3b3638f74d4884976e6b26210101e825652ab289df5
14,17,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
14,18,UNKNOWN,30,bounded_layer_scan,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
