omitted_q,status,wall_limit_seconds,seed,variables,clauses,cnf_sha256,solver_output_sha256
0,UNKNOWN,30,13001,1820,48928,04ae62a51da67d15e1407a48f42a9fd245f3fbb38ac353e182cb1a5d2c7d9ebb,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
1,UNKNOWN,30,13002,1820,48928,b51931f64b99d11e5fc37f60feae29ab50080fcfbbd9c7435a56ada25333c063,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
2,UNKNOWN,30,13003,1820,48928,00275ec1715721759d403a5b6cf766cf6fd5adefb3ecf5efe131b1e444d1d9da,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
3,UNKNOWN,30,13004,1820,48928,204c15eb0384550126d76570fab74c4ce3e8cdc5363e321d710bb66234ef9f00,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
4,UNKNOWN,30,13005,1820,48928,0f7320b48330dc95c4906e36b2de26887772c20fa18e4c0e9f17dd29ce5a9d20,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
5,UNKNOWN,30,13006,1820,48928,9d97c28ca0934ca661b073754743e96d892c690e647fc71d4cd55f776df3d4e1,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
6,UNKNOWN,30,13007,1820,48928,808ea0185c0bdebceba95a26738335a46171c8aba97d6844a8ce0b67d8a655ce,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
7,UNKNOWN,30,13008,1820,48928,239236ada2737c72e1277ef0fa1ccc00f4c77d614fae6c97e19ce6b6d933c14e,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
8,UNKNOWN,30,13009,1820,48928,3168561297ad52a7342b13bb1e142c148df4f5c77cb35d4b844bfc26e1ea8bd1,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
9,UNKNOWN,30,13010,1820,48928,0606ee4825ecb68968107e6458b9c7a7a563b0ad7c9bd10dafb1b88a1673990b,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
10,UNKNOWN,30,13011,1820,48928,661535d52c715a4a6dedbcb3cb1262b4ac7f7ecf0d24fbe365ca05b1e871487a,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
11,UNKNOWN,30,13012,1820,48928,0f0e129d83188334dd5590cf2b74a08256ecc311da3d9b4046c8eaf1edbba7db,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
12,UNKNOWN,30,13013,1820,48928,e6948e30202ced07630ee85f21d12b53e5e696b74a0c37152c19157360ec90e3,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
15,UNKNOWN,30,13016,1820,48928,22081bb8eceea5e1abd353944277abc49399dc7a639e534139e9e5e70d3f46b0,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
16,UNKNOWN,30,13017,1820,48928,7577e0c40abb380d066ae2576ae18c4a080896f783a431e8d53a1b53d3d39d60,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
17,UNKNOWN,30,13018,1820,48928,aaf63244ab5b62fe3e2e8d81ce99a82e85166ca70b64c1e386dde286d44e71c8,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
18,UNKNOWN,30,13019,1820,48928,b8efaa97e6559169bc1a2113fd2e1dad94411d4247b2835c5d56bf27d3992ca1,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
19,UNKNOWN,30,13020,1820,48928,2c5efbb0fff69c4e9606aa2b7b127c6c520b3d977161803250a1f1a795eadb58,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
20,UNKNOWN,30,13021,1820,48928,a6e32b704eddf5e10438b73f7e2a7c6a0e00ae66916c7b18f065cb23ad7b943b,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
21,UNKNOWN,30,13022,1820,48928,5d32dcdd8713b2d103195a8ae16f750a3078077af1b99fc0f68cb5b9953892b7,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
22,UNKNOWN,30,13023,1820,48928,df77b4e8c4234284f072bdf48b727cddcf8dab978e2546f584b03e44c82c4019,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
