(BC) worst margins; a positive margin means the condition CAN be
violated somewhere in the relaxation, <= 0 is a proof that it never
fires.  mu = n - r is the minimum support size.

  n   r  mu    q |    upper    lower
  5   3   2    7 |       +2       +1
  7   3   4    9 |       +2       +0
  9   3   6   11 |       +0       +0
 11   3   8   13 |       +0       +0
 13   3  10   15 |       +0       +0
 15   3  12   17 |       +0       +0
 17   3  14   19 |       +0       +0
 19   3  16   21 |       +0       +0
  6   4   2    9 |       +6       +3
  7   4   3   10 |       +4       +1
  8   4   4   11 |       +4       +1
  9   4   5   12 |       +0       +0
 10   4   6   13 |       +0       +0
 12   4   8   15 |       +0       +0
 14   4  10   17 |       +0       +0
 16   4  12   19 |       +0       +0
 18   4  14   21 |       +0       +0
  7   5   2   11 |       +6       +3
  8   5   3   12 |       +8       +2
  9   5   4   13 |       +8       +2
 10   5   5   14 |       +4       +0
 11   5   6   15 |       +4       +0
 12   5   7   16 |       +0       +0
 13   5   8   17 |       +0       +0
 14   5   9   18 |       +0       +0
 15   5  10   19 |       +0       +0
 16   5  11   20 |       +0       +0
 17   5  12   21 |       +0       +0
  8   6   2   13 |      +12       +5
  9   6   3   14 |      +12       +3
 10   6   4   15 |      +12       +3
 11   6   5   16 |       +8       +1
 12   6   6   17 |       +8       +1
 13   6   7   18 |       +2       +0
 14   6   8   19 |       +2       +0
 15   6   9   20 |       +0       +0
 16   6  10   21 |       +0       +0
  9   7   2   15 |      +12       +5
 10   7   3   16 |      +16       +4
 11   7   4   17 |      +16       +4
 12   7   5   18 |      +12       +2
 13   7   6   19 |      +12       +2
 14   7   7   20 |       +6       +0
 15   7   8   21 |       +6       +0
 10   8   2   17 |      +20       +7
 11   8   3   18 |      +18       +4
 12   8   4   19 |      +20       +5
