c0,c1,c2,c3,L_lo,L_up,kernel_upper,d_lower,D_up,exact_realized,G28,margin_lo,margin_up,margin_final
0,1,1,29,3991995,3991995,2,1975240,1975240,1,3950494,-41501,-41501,-41501
0,1,3,27,4306635,4306635,2,2132560,2132560,1,4265137,-41498,-41498,-41498
0,1,5,25,4271675,4271675,2,2115080,2115080,1,4230179,-41496,-41496,-41496
0,1,7,23,4278667,4278667,2,2118576,2118576,1,4237167,-41500,-41500,-41500
0,1,9,21,4276539,4276539,2,2123288,2123288,1,4246593,-29946,-29946,-29946
0,1,11,19,4277451,4277451,2,2120128,2123744,1,4247501,-29950,-29950,-29950
0,1,13,17,4276923,4276923,2,2119864,2123688,1,4247391,-29532,-29532,-29532
0,1,15,15,4276363,4292747,2,2119584,2131600,0,4263217,-13146,-29530,-29530
0,1,17,13,4276923,4276923,2,2119864,2123688,1,4247391,-29532,-29532,-29532
0,1,19,11,4277451,4277451,2,2120128,2123744,1,4247501,-29950,-29950,-29950
0,1,21,9,4276539,4276539,2,2123288,2123288,1,4246593,-29946,-29946,-29946
0,1,23,7,4278667,4278667,2,2118576,2118576,1,4237167,-41500,-41500,-41500
0,1,25,5,4271675,4271675,2,2115080,2115080,1,4230179,-41496,-41496,-41496
0,1,27,3,4306635,4306635,2,2132560,2132560,1,4265137,-41498,-41498,-41498
0,1,29,1,3991995,3991995,2,1975240,1975240,1,3950494,-41501,-41501,-41501
0,3,1,27,4306635,4306635,2,2132560,2132560,1,4265137,-41498,-41498,-41498
0,3,3,25,4446475,4446475,2,2202480,2202480,1,4404973,-41502,-41502,-41502
0,3,5,23,4432491,4432491,2,2195488,2195488,1,4390994,-41497,-41497,-41497
0,3,7,21,4434923,4434923,2,2202480,2202480,1,4404973,-29950,-29950,-29950
0,3,9,19,4434315,4434315,2,2202176,2202176,1,4404366,-29949,-29949,-29949
0,3,11,17,4434507,4434507,2,2198656,2202480,1,4404973,-29534,-29534,-29534
0,3,13,15,4433963,4442155,2,2198384,2206304,0,4412622,-21341,-29533,-29533
0,3,15,13,4433963,4442155,2,2198384,2206304,0,4412622,-21341,-29533,-29533
